,가격,평점,채널,날짜,제품명,리뷰
10,"36,890",평점5,보만코리아,19.09.03.,보만 VC7210,"흡입력 되게 좋아요!처음에 받았을때는 온전히 충전된 상태가 아니라서 흡입력 안좋다고 했는데 저는 충전 전도 아주 만족이었어요소리도 이 정도면 참을만 합니다머리카락이나 먼지같은 것은 완전히 잘 흡입해요다만 머리카락은 먼지통에 돌돌 말려서 빼내기 쉬운데, 먼지는 필터에 딱 붙어서 손으로는 잘 빼기 힘들어요 날 잡고 물로 씻어 내리는 편으로 해야겠어요일부러 필터 청소 문제로 헤파필터 선택 안했는데 헤파필터는 먼지가 손으로는 더 잘 안 떨어질 거 같아서 잘 한 선택인거 같습니다먼지 빼내기만 수월해진다면 더할 나위 없이 좋을것 같습니다가격대비 매우 만족입니다 자취생 분들께 강추합니다"
11,"36,890",평점5,보만코리아,20.05.28.,보만 VC7210,예전부터 머리카락이나 먼지때문이라도 청소기를 구매할 생각이 있었는데 요즘 미세먼지가 다시 심해졌다는 기사를 보고 사기로 마음먹어서 찾아보다가 보만 청소기가 리뷰도 많고 후기도 좋아서 믿고 사봤어요~ 유선청소기만 사용해봤었는데 선때문에 골치아팠던적이 한두번이 아니었어요 ㅠㅠ 근데 이번에 무선청소기인데도 흡입력도 좋다고해서 구매해서 사용해봤더니 머리카락이나 먼지 진짜 깔끔하게 없애주더라구요 저는 컴퓨터 본체에도 사용해서 쿨러팬에 있는 먼지도 제거해주었어요 ㅎㅎ 청소기 헤드도 다양한 구성으로 되어있어서 바닥 침구류 책상과 천장 등 여기저기 다 쓸수 있어서 너무 좋더라구요 공간 차지도 안하다보니 앞으로도 정말 오래 애용할 것 같네요 추천드려요~
12,"36,890",평점4,보만코리아,20.02.20.,보만 VC7210,"가격이 착해서 많이 기대안했는데 생각보다 좋아요. 아주 간단청소 하려고 샀는데 3가지 형태가 있어 필요에 따라 쓸수 있네요. 또한 커튼이나 침대아래 쓸만한 길이의 봉이 2개나 있어서 아주 요긴한 핸디청소기네요. 소리 동영상도 올렸는데 들어보시면 소음수준이 아니고 적당한 편이며, 가볍고 흡입력 조절은 한가지인데 쎈편입니다. 아주 단단한 플라스틱 재질이 아니라서 깨지거나 고장나지 않게 살살 써야 오래 갈것 같네요. 결론적으로는 매우 만족스런 간편 청소가전제품입니다!"
13,"36,890",평점5,11번가,20.05.23.,보만 VC7210,핸드폰이 후져서 사진이 잘 안찍혔네요... ㅠ 성능 맘에 들어요. 물건받고 2일후에 충전도 안하고 사용했는데 잘 흡입되네요~ 무게도 적당하긴한데 한손으로 5분이상 청소하다가 약간 삐끗하긴했지만 사용 못할 정도는아니라 잘 사용할듯해요~ 가게 휴게실 카운터 정도 사용하려고 구매했는데 청소하기 편하고 먼지통안에 역류방지 캡같은게 있어서 다시 먼지 나오지도 않고 먼지걸러주는 주머니도 청소후 탈탈 털어주니 마무리도 편하네요. 다만 충전기본체 전선코드가 그냥 연결되어있어서 관리 소홀하면 끊어질듯하네요
14,"36,890",평점5,옥션,21.10.13.,보만 VC7210,가격대비 만족합니다..원룸 사는분들 사용하기 좋겠어요.저는 그냥 집에서  청소기 따로 있고..애들  과자 부스러기.잡다한거 떨질때 청소기로  번거로워서 간단하게 사용할 거 찾다가 구매했는데 좋아요..흡입력도 이정도면 좋구요..베터리도  저희집 무선청소기 15분이면 베터리 아웃 되는데..그거 보다 더오래 갑니다.가벼워서 충전할때 벽타일이 접착 고무압착기로 저렇게 고정해도 튼튼하게 딱 붙어있어요..째깐한게 흡입력이...먼지통이  ㅎㄷㄷ몸통 분리도 엄첨잘됩니다..이가격에 이정도면 고장만 빨리 안나면 득템이죠
15,"36,890",평점5,보만코리아,19.04.24.,보만 VC7210,제품 박스 그대로 올 줄 알았는데 다른 전용박스에 추가적으로 포장을 해주셔서 좋았습니다. 배송되던 날 비가 왔거든요. 그리고 무엇보다도 구성이 다양해서 다른 제품을 구매하지 않고 선택하게 되었는데 만족합니다. 개봉하자마자 바로 테스트 삼아 사용해봤는데 기대했던 것 이상으로 잘 빨아 들이네요. 가격 대비로는 상당한 성능인 것 같습니다. 날이 따뜻해지면서 가게에 벌레들이 들어와서 테이블위에 떨어져 있는 경우가 많아 구매하게 되었는데 집에서 간단히 청소할 때도 쓰려고 추가 구매할 계획입니다.
16,"36,890",평점5,11번가,19.02.16.,보만 VC7210,일반  청소기는 무선이라도 무거워서 그런지 간단한 부분 청소할때 손이 잘 안가서 고민고민하다가 구매했는데 진작 살걸 그랬어요~ 브러시 종류도 괜찮고 봉(?) 연결하면 서서도 사용가능해서 더 잘 쓰고 있어요~집 전체를 청소하기는 힘이 딸리지만 부분적으로 청소하기에는 좋아요~ 필터도 영구적으로 사용가능해서 좋은데 세척할 때 부직포 그 틈새에 먼지가 껴서 잘 안 씻겨요~매번하기는 번거롭고 한 번씩 나사 풀어서 씻어야 깨끗하게 오래 쓸거 같네요~ 이건 성격탓이라....암튼 저는 추천 해드릴만한 제품인거 같아요~
17,"36,890",평점5,바디퓨,20.10.22.,보만 VC7210,일단 가성비 좋아요 깔끔하게 잘 청소되고 원룸에 적합함 다만! 제가 생각했을때 충전해놓은게 그리 오래가지못해요 그점이 상당히 안타깝습니다.. 깜빡하고 하루종일 충전시켜놨던 청소기 아침에 한 10~ 20분? 조금씩 돌렸는데 소리가 약해지더라구요? 그래서 아.. 어떤분의 리뷰에 충전이 오래가지 못한다는 말이 떠오르더라고요 뭐. 그거빼면 만족스럽습니다. 사실 이정도 금액에 뭘바랍니까..? 그냥 그렇다고요 가성비 좋습니다. 이 금액에 더 많은걸 바라면 안되죠 비싼거 사 쓰세요 툴툴거릴거면
18,"36,890",평점5,보만코리아,20.03.19.,보만 VC7210,1. 장점 :상황에 따라 흡입구를 4개를 갈아끼울 수 있어서 좋다. 원룸에 사는데 (10평좀안됨) 웬만한 머리카락이나 먼지들을 흡입을 잘 할만큼 흡입력도 좋다. 머리카락 너무 많이 떨어져서 샀는데 만족한다. 특히 좋은 점은 핸디형은 엎드려서 청소기를 돌려야하는 단점이 있는데 보만꺼는 그러지않아서 좋다.2. 단점 :  단점이라 하면 그렇게 흡입력이 강력하지는 않아서 한번 돌린 것 가지고 극적으로 먼지가 없어지고 하지는 않는다. 넓은 집은 비추고 작은 집에 딱 좋다.디자인도 괜찮고 소리도 그렇게 크지 않아 밤에 잠깐 돌릴때도 괜찮다.가격대비 만족.
19,"36,890",평점4,옥션,20.02.11.,보만 VC7210,일단 흡입력은 참 좋아서 청소할 맛 나네요.그런데 처음 개봉할때 스티커가 접착이 덜된건지 떨어져있었고 설명서에는 처음 사용할땐 충전 안되어 있으니 반드시 8시간인가 충전하고 사용하라고 쓰여있던데 켜보니까작동 되더라구요. 약간의 찝찝함이 있었지만 기존꺼 고장나서 급히 산거라 이상없어보여서 씁니다만 .. 암튼 제품은 작긴한데 여러 구성품도 마음에 들고소음이 좀 있어도 흡입력이 강해서 좋네요. 배터리 오래갔으면 좋겠어요
