,가격,평점,채널,날짜,제품명,리뷰
20,"107,160",평점4,VIVRE KOREA,20.04.08.,비브르 A9 PLUS,"소음, 흡입력, 디자인 모두 이정도면 만족합니다.다만, 생각보다 무게감이 있고, 본체 조립시 먼지통 분리버튼이 '딸깍'하고 깔끔하게 조립이 되지 않으며(제 것만 그런지는 모르겠지만...), 거치대에 틈새노즐 부품을 꽂을 자리가 없다는 게 조금 아쉽네요.무선청소기는 사용시간에 제한이 있기 때문에 아무래도 청소시간이 길지 않은 (빗자루는 좀 버겁고 그렇다고 유선청소기를 사용하기에는 좀 부담스러운 한 10평~15평대) 집에서 쓰기 좋은 듯 합니다."
21,"107,160",평점5,VIVRE KOREA,19.06.22.,비브르 A9 PLUS,"무거운 유선청소기를 사용중인데 가벼운 무선청소기로 바꾸려고 알아보다가 비브르 라는 브랜드를 처음 알게되었어요.리뷰를 보니 가성비 최고라 하길래 가격도 생각했던 금액보다 괜찮아서 구매했어요~반신반의 했는데 직접 사용해보니 가벼워서 좋았고 생각보다 흡입역이 너무 좋아서 놀랐어요! 그리고 확실이 무선이 줄을 끌고 다니지 않아도 되서 너무 편하고 못질하지 않고 거치할 수 있어 좋고, 특히 비브르는 공간차지를 많이 안해요~ 소음도 생각보다 안커서 정말 만족합니다.^^"
22,"107,160",평점5,VIVRE KOREA,19.07.30.,비브르 A9 PLUS,개봉해서 본체를 들어봤는데 장난감처럼 가벼운 느낌 다른 청소기보다 확실히 가벼운것 같은데 가벼운만큼 청소할 때 안정감 있게 밀리는 느낌은 덜하네요 힘없는 분들은 손목에 무리는 덜할것 같고 흡입력은 고가의 청소기보다는 약하지만 청소하는데 부족함은 없을 정도메인 브러시가 약간 작은 느낌인데 집이 넓지 않다면 크게 지장은 없을듯 합니다 소음은 다른청소기보다 조용한 편이고 개봉해서 바로 돌려봤는데 필터에서 미세 먼지도 잘 걸러지네요 어차피 1년은 무상 보증이니 2년만 쓸 수 있으면 돈아깝지 않을것 같은
23,"107,160",평점3,VIVRE KOREA,20.11.18.,비브르 A9 PLUS,흡입력이 생각보다 약한건 둘째치고 모가지가 너무 잘 안돌아가서 방향이나 각도를 계속 움직여야하는데 너무 불편합니다.. 각도를 틀고 제자리 돌아오고 하는 과정에서 자꾸 들어서 힘으로 눌러야하고 그때마다 청소시간은 길어지고 손목에 힘이 많이 들어갑니다 ㅠ 이 부분은 as가 되나요? 저만 그런건지 궁금합니다. 이 부분만 개선되면 나머지 불편한 부분들은 가격적인 메리트로 인정힐 수 있을 듯한데 이게 너무 큽니다 ㅠ
24,"107,160",평점5,VIVRE KOREA,19.06.22.,비브르 A9 PLUS,"주문한지 하루 지났는데  당일발송으로 다음날 바로 받았습니다. 배송기간 너무 만족스럽습니다.흡입력이 최대 10,000pa 라고 적혀있던데 자세한 기압수치 숫자로 표시 되있어도 모르니까 잘 신경은 그렇게 안썻는데 이제보니까 전에 사용하던 무선청소기는 더 높은 파스칼로 적혀있는걸이제 확인해봤네요. 왜 저는 개인적으론 사용하던 청소기가 표시된 파스칼수치는 높은데 사용해보니 이 제품이 더 잘 흡입한단 느낌이 드는지,,^^ 여튼 좋은거니 잘사용하겠습니다~"
25,"107,160",평점2,VIVRE KOREA,19.08.25.,비브르 A9 PLUS,가성비갑이라해서 구매했는데 개인적으로 전 별로네요... 머리카락은 잘 흡이되는데 아기과자 부스러기는 기본해드로는 잘 안빨리네요... 헤드부분솔이 일반 바닥먼지는 잘 못흡입하는거 같아요... 충전 만땅으로해도.... 음.... 침구브로쉬로 침구청소는 잘됩니다. 그래서 힘들지만 다시 유선으로 청소를... 침대청소와 아가 과자부스로기는 헤드교체하고 세컨으로 사용하고있습니다... 일주일 사용하고 쓰는 후기입니다~~
26,"107,160",평점5,VIVRE KOREA,19.07.08.,비브르 A9 PLUS,"상품은 구매 후 다음날 바로 받았습니다.(오전주문)기존에 쓰던 제품이 충전하려고 세워두는과정에서 바닥에 떨지고 그 이후 작동이 되질않아 급하게 구매했습니다.기존 제품보다 색상이나 가벼움은 정말 만족합니다만,충전을 위해 거치대에 분리해서 두는것은 좀 불편했어요.그래도 분리해둔김에 모서리, 침구용 쓰니 그점은 좋아요.저렴한 가격에 성능좋은 제품이어서 만족하며 사용하고있습니다."
27,"107,160",평점5,VIVRE KOREA,19.06.24.,비브르 A9 PLUS,주문하고 다음날 받았구요~ 어뜨케 매번 사용을 할수록 좋은거 같네요~~??  갈수록 청소기 성능이 떨어질거란 제 고정관념을 유일하게 깨고있는 제품 같아요. 물론 어떤 물건이든 쓸수록 닳고 성능이떨어지지만서도~~가격만 생각하고 1달은 쓸까 했는데~아직 몇일 안됬지만 기대감이 전혀 없었던터인지라 너무 만족해요~ 이대로만 ~ 쭉^^
28,"107,160",평점2,VIVRE KOREA,19.08.01.,비브르 A9 PLUS,"일단 별롭니다. 저는 고양이를 키우는 집사입니다. 모래 때문에 청소기를 구매했는데 일단 흡입력이 별롭니다. 그리고 회전이 안돼서 모서리 청소가 안됩니다.  청소기가 롤러가 돌아가면서 먼지를 흡입하는 방식이라 바닥에서 계속 밀면서 청소해야지 하다가 청소기를 들면 모래가 뒤로 다튑니다. 가격대비 흡입력이나 청소기 회전도 안 돼고 해서 추천을 권해드리지 않습니다. 그리고 먼지 흡입하는 입구가 힘이 없어서 계속 뜹니다. 즉, 저는 제품을 받자마자 써본 결과 별롭니다. 수고하세요."
29,"107,160",평점5,VIVRE KOREA,19.06.23.,비브르 A9 PLUS,진작에 살걸 그랬네요… 청소는 늘 하지만 깨끗할거라고 생각하고 청소기 받은김에 한번 다 돌려봤는데 먼지통 먼지보고 경악을 금치 못했네요.. 이렇게 더러운줄 모르고 이불덮고 잤다니남편한테 좀 미안하네요ㅎㅎ.. 가벼워서 계속하게되고~쏙쏙 흡입되는게 덕분에 청소시간이 조금 즐거워졌어요
